#ObjectMaterialSfxParam=OBJECT_MATERIAL_SFX_PARAM_ST
ID,Name,MtrlVfxId0 - MtrlVfxId0 - s32,MtrlVfxId1 - MtrlVfxId1 - s32,MtrlVfxId2 - MtrlVfxId2 - s32,MtrlVfxId3 - MtrlVfxId3 - s32,MtrlVfxId4 - MtrlVfxId4 - s32,MtrlVfxId5 - MtrlVfxId5 - s32,MtrlVfxId6 - MtrlVfxId6 - s32,MtrlVfxId7 - MtrlVfxId7 - s32,MtrlVfxId8 - MtrlVfxId8 - s32,MtrlVfxId9 - MtrlVfxId9 - s32,MtrlVfxId10 - MtrlVfxId10 - s32,MtrlVfxId11 - MtrlVfxId11 - s32,MtrlVfxId12 - MtrlVfxId12 - s32,MtrlVfxId13 - MtrlVfxId13 - s32,MtrlVfxId14 - MtrlVfxId14 - s32,MtrlVfxId15 - MtrlVfxId15 - s32,MtrlVfxId16 - MtrlVfxId16 - s32,MtrlVfxId17 - MtrlVfxId17 - s32,MtrlVfxId18 - MtrlVfxId18 - s32,MtrlVfxId19 - MtrlVfxId19 - s32,MtrlVfxId20 - MtrlVfxId20 - s32,MtrlVfxId21 - MtrlVfxId21 - s32,MtrlVfxId22 - MtrlVfxId22 - s32,MtrlVfxId23 - MtrlVfxId23 - s32,MtrlVfxId24 - MtrlVfxId24 - s32,MtrlVfxId25 - MtrlVfxId25 - s32,MtrlVfxId26 - MtrlVfxId26 - s32,MtrlVfxId27 - MtrlVfxId27 - s32,MtrlVfxId28 - MtrlVfxId28 - s32,MtrlVfxId29 - MtrlVfxId29 - s32,MtrlVfxId30 - MtrlVfxId30 - s32,MtrlVfxId31 - MtrlVfxId31 - s32
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,101151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,101151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,103151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,104151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,103151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,101151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,104151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,,101151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,,101151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,,101151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,,101151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,,101151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,101151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,,101151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
