#ThrowDirectionDecalParam=THROW_DIRECTION_DECAL_PARAM_ST
ID,Name,ThrowDecalId1 - ThrowDecalId1 - s32,ThrowDecalId2 - ThrowDecalId2 - s32,ThrowDecalId3 - ThrowDecalId3 - s32,ThrowDecalId4 - ThrowDecalId4 - s32,ThrowDecalId5 - ThrowDecalId5 - s32,ThrowDecalId6 - ThrowDecalId6 - s32,ThrowDecalId7 - ThrowDecalId7 - s32,ThrowDecalId8 - ThrowDecalId8 - s32,ThrowDecalId9 - ThrowDecalId9 - s32,ThrowDecalId10 - ThrowDecalId10 - s32,ThrowDecalId11 - ThrowDecalId11 - s32,ThrowDecalId12 - ThrowDecalId12 - s32,ThrowDecalId13 - ThrowDecalId13 - s32,ThrowDecalId14 - ThrowDecalId14 - s32,ThrowDecalId15 - ThrowDecalId15 - s32,ThrowDecalId16 - ThrowDecalId16 - s32,ThrowDecalId17 - ThrowDecalId17 - s32,ThrowDecalId18 - ThrowDecalId18 - s32,ThrowDecalId19 - ThrowDecalId19 - s32,ThrowDecalId20 - ThrowDecalId20 - s32,ThrowDecalId21 - ThrowDecalId21 - s32,ThrowDecalId22 - ThrowDecalId22 - s32,ThrowDecalId23 - ThrowDecalId23 - s32,ThrowDecalId24 - ThrowDecalId24 - s32,ThrowDecalId25 - ThrowDecalId25 - s32,ThrowDecalId26 - ThrowDecalId26 - s32,ThrowDecalId27 - ThrowDecalId27 - s32,ThrowDecalId28 - ThrowDecalId28 - s32,ThrowDecalId29 - ThrowDecalId29 - s32,ThrowDecalId30 - ThrowDecalId30 - s32,ThrowDecalId31 - ThrowDecalId31 - s32,ThrowDecalId32 - ThrowDecalId32 - s32,ThrowDecalId33 - ThrowDecalId33 - s32,ThrowDecalId34 - ThrowDecalId34 - s32,ThrowDecalId35 - ThrowDecalId35 - s32,ThrowDecalId36 - ThrowDecalId36 - s32,ThrowDecalId37 - ThrowDecalId37 - s32,ThrowDecalId38 - ThrowDecalId38 - s32,ThrowDecalId39 - ThrowDecalId39 - s32,ThrowDecalId40 - ThrowDecalId40 - s32,ThrowDecalId41 - ThrowDecalId41 - s32,ThrowDecalId42 - ThrowDecalId42 - s32,ThrowDecalId43 - ThrowDecalId43 - s32,ThrowDecalId44 - ThrowDecalId44 - s32,ThrowDecalId45 - ThrowDecalId45 - s32,ThrowDecalId46 - ThrowDecalId46 - s32,ThrowDecalId47 - ThrowDecalId47 - s32,ThrowDecalId48 - ThrowDecalId48 - s32,ThrowDecalId49 - ThrowDecalId49 - s32,ThrowDecalId50 - ThrowDecalId50 - s32,ThrowDecalId51 - ThrowDecalId51 - s32,ThrowDecalId52 - ThrowDecalId52 - s32,ThrowDecalId53 - ThrowDecalId53 - s32,ThrowDecalId54 - ThrowDecalId54 - s32,ThrowDecalId55 - ThrowDecalId55 - s32,ThrowDecalId56 - ThrowDecalId56 - s32,ThrowDecalId57 - ThrowDecalId57 - s32,ThrowDecalId58 - ThrowDecalId58 - s32,ThrowDecalId59 - ThrowDecalId59 - s32,ThrowDecalId60 - ThrowDecalId60 - s32,ThrowDecalId61 - ThrowDecalId61 - s32,ThrowDecalId62 - ThrowDecalId62 - s32,ThrowDecalId63 - ThrowDecalId63 - s32,ThrowDecalId64 - ThrowDecalId64 - s32,ThrowDecalId65 - ThrowDecalId65 - s32,ThrowDecalId66 - ThrowDecalId66 - s32,ThrowDecalId67 - ThrowDecalId67 - s32,ThrowDecalId68 - ThrowDecalId68 - s32,ThrowDecalId69 - ThrowDecalId69 - s32,ThrowDecalId70 - ThrowDecalId70 - s32,ThrowDecalId71 - ThrowDecalId71 - s32,ThrowDecalId72 - ThrowDecalId72 - s32,ThrowDecalId73 - ThrowDecalId73 - s32,ThrowDecalId74 - ThrowDecalId74 - s32,ThrowDecalId75 - ThrowDecalId75 - s32,ThrowDecalId76 - ThrowDecalId76 - s32,ThrowDecalId77 - ThrowDecalId77 - s32,ThrowDecalId78 - ThrowDecalId78 - s32,ThrowDecalId79 - ThrowDecalId79 - s32,ThrowDecalId80 - ThrowDecalId80 - s32,ThrowDecalId81 - ThrowDecalId81 - s32,ThrowDecalId82 - ThrowDecalId82 - s32,ThrowDecalId83 - ThrowDecalId83 - s32,ThrowDecalId84 - ThrowDecalId84 - s32,ThrowDecalId85 - ThrowDecalId85 - s32,ThrowDecalId86 - ThrowDecalId86 - s32,ThrowDecalId87 - ThrowDecalId87 - s32,ThrowDecalId88 - ThrowDecalId88 - s32,ThrowDecalId89 - ThrowDecalId89 - s32,ThrowDecalId90 - ThrowDecalId90 - s32
0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
