#KnowledgeLoadScreenItemParam=KNOWLEDGE_LOADSCREEN_ITEM_PARAM_ST
ID,Name,LoadscreenCategoryId - LoadscreenCategoryId - u32,KnowledgeId - KnowledgeId - s32,pad1 - pad1 - dummy8
0,,4294967295,-1,-
1,,6341,-1,-
2,,6341,-1,-
3,,6341,-1,-
4,,4294967295,-1,-
5,,6341,-1,-
6,,6341,-1,-
7,,6342,-1,-
8,,4294967295,-1,-
9,,6341,-1,-
10,,4294967295,-1,-
11,,6342,-1,-
12,,6341,-1,-
13,,6341,-1,-
14,,6341,-1,-
15,,6342,-1,-
16,,6341,-1,-
17,,6341,-1,-
18,,6341,-1,-
19,,6341,-1,-
20,,6341,-1,-
21,,6341,-1,-
22,,6250,-1,-
23,,6341,-1,-
24,,6341,-1,-
25,,6342,-1,-
26,,6341,-1,-
27,,6341,-1,-
28,,6342,-1,-
29,,6342,-1,-
30,,6342,-1,-
31,,6342,-1,-
32,,6341,-1,-
33,,6342,-1,-
34,,6341,-1,-
35,,6341,-1,-
36,,6341,-1,-
37,,6250,-1,-
38,,263,-1,-
39,,11107655,-1,-
40,,71110179,-1,-
41,,11107655,-1,-
42,,6342,-1,-
43,,6341,-1,-
44,,6341,-1,-
45,,6341,-1,-
46,,6341,-1,-
47,,6341,-1,-
48,,6342,-1,-
49,,4294967295,-1,-
50,,4294967295,-1,-
51,,4294967295,-1,-
52,,4294967295,-1,-
53,,6341,-1,-
54,,6341,-1,-
55,,6341,-1,-
56,,6341,-1,-
57,,6341,-1,-
58,,6341,-1,-
59,,6341,-1,-
60,,6342,-1,-
61,,6341,-1,-
62,,6342,-1,-
63,,6341,-1,-
64,,6341,-1,-
65,,6341,-1,-
66,,6341,-1,-
67,,6341,-1,-
68,,6342,-1,-
69,,6342,-1,-
70,,6341,-1,-
71,,6342,-1,-
72,,6342,-1,-
73,,6341,-1,-
74,,6341,-1,-
75,,6341,-1,-
76,,6341,-1,-
77,,6341,-1,-
78,,6342,-1,-
79,,6342,-1,-
80,,6341,-1,-
81,,6280,-1,-
82,,6281,-1,-
83,,6284,-1,-
84,,6341,-1,-
