#HitEffectSfxConceptJustGuardParam=HIT_EFFECT_SFX_CONCEPT_PARAM_ST
ID,Name,SfxConceptId0 - SfxConceptId0 - s16,SfxConceptId1 - SfxConceptId1 - s16,SfxConceptId2 - SfxConceptId2 - s16,SfxConceptId3 - SfxConceptId3 - s16,SfxConceptId4 - SfxConceptId4 - s16,SfxConceptId5 - SfxConceptId5 - s16,SfxConceptId6 - SfxConceptId6 - s16,SfxConceptId7 - SfxConceptId7 - s16,SfxConceptId8 - SfxConceptId8 - s16,SfxConceptId9 - SfxConceptId9 - s16,SfxConceptId10 - SfxConceptId10 - s16,SfxConceptId11 - SfxConceptId11 - s16,SfxConceptId12 - SfxConceptId12 - s16,SfxConceptId13 - SfxConceptId13 - s16,SfxConceptId14 - SfxConceptId14 - s16,SfxConceptId15 - SfxConceptId15 - s16,SfxConceptId16 - SfxConceptId16 - s16,SfxConceptId17 - SfxConceptId17 - s16,SfxConceptId18 - SfxConceptId18 - s16,SfxConceptId19 - SfxConceptId19 - s16,SfxConceptId20 - SfxConceptId20 - s16,SfxConceptId21 - SfxConceptId21 - s16,SfxConceptId22 - SfxConceptId22 - s16,SfxConceptId23 - SfxConceptId23 - s16,SfxConceptId24 - SfxConceptId24 - s16,SfxConceptId25 - SfxConceptId25 - s16,SfxConceptId26 - SfxConceptId26 - s16,SfxConceptId27 - SfxConceptId27 - s16,SfxConceptId28 - SfxConceptId28 - s16,SfxConceptId29 - SfxConceptId29 - s16,pad1 - pad1 - dummy8
100,,520,0,530,380,530,0,530,0,530,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,440,0,0,-
101,,520,0,530,380,530,0,0,570,530,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,440,0,0,-
102,,530,0,530,380,530,0,530,80,530,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,440,0,0,-
103,,530,0,530,380,530,0,530,0,530,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,440,0,0,-
104,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
105,,530,0,530,380,530,0,530,0,530,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,440,0,0,-
106,,520,0,530,380,530,0,530,0,530,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,440,0,0,-
107,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
108,,530,0,530,380,530,0,530,0,530,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,440,0,0,-
109,,530,200,530,380,530,0,530,0,530,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,440,0,0,-
110,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
112,,520,0,530,380,530,0,530,0,530,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,440,0,0,-
113,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
114,,530,200,530,380,530,0,530,0,530,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,440,0,0,-
115,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
116,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
117,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
118,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
119,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
120,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
121,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
122,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
123,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
124,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
126,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
127,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
128,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
