#EquipMtrlSetParam=EQUIP_MTRL_SET_PARAM_ST
ID,Name,MaterialId01 - MaterialId01 - s32,MaterialId02 - MaterialId02 - s32,MaterialId03 - MaterialId03 - s32,MaterialId04 - MaterialId04 - s32,MaterialId05 - MaterialId05 - s32,ItemNum01 - ItemNum01 - s8,ItemNum02 - ItemNum02 - s8,ItemNum03 - ItemNum03 - s8,ItemNum04 - ItemNum04 - s8,ItemNum05 - ItemNum05 - s8,isDisableDispNum01 - isDisableDispNum01 - u8,isDisableDispNum02 - isDisableDispNum02 - u8,isDisableDispNum03 - isDisableDispNum03 - u8,isDisableDispNum04 - isDisableDispNum04 - u8,isDisableDispNum05 - isDisableDispNum05 - u8,pad1 - pad1 - dummy8
1,,10000,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
2,,10000,-1,-1,-1,-1,2,-1,-1,-1,-1,0,0,1,0,0,-
3,,10000,-1,-1,-1,-1,3,-1,-1,-1,-1,0,0,1,0,0,-
4,,10000,-1,-1,-1,-1,4,-1,-1,-1,-1,0,0,1,0,0,-
5,,10000,-1,-1,-1,-1,5,-1,-1,-1,-1,0,0,1,0,0,-
6,,10000,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,1,0,0,-
7,,10000,-1,-1,-1,-1,7,-1,-1,-1,-1,0,0,1,0,0,-
8,,10000,-1,-1,-1,-1,8,-1,-1,-1,-1,0,0,1,0,0,-
9,,10000,-1,-1,-1,-1,9,-1,-1,-1,-1,0,0,1,0,0,-
10,,10000,-1,-1,-1,-1,10,-1,-1,-1,-1,0,0,1,0,0,-
11,,10000,-1,-1,-1,-1,11,-1,-1,-1,-1,0,0,1,0,0,-
12,,10000,-1,-1,-1,-1,12,-1,-1,-1,-1,0,0,1,0,0,-
13,,10000,-1,-1,-1,-1,13,-1,-1,-1,-1,0,0,1,0,0,-
14,,10000,-1,-1,-1,-1,14,-1,-1,-1,-1,0,0,1,0,0,-
15,,10000,-1,-1,-1,-1,15,-1,-1,-1,-1,0,0,1,0,0,-
16,,10000,-1,-1,-1,-1,16,-1,-1,-1,-1,0,0,1,0,0,-
17,,10000,-1,-1,-1,-1,17,-1,-1,-1,-1,0,0,1,0,0,-
18,,10000,-1,-1,-1,-1,18,-1,-1,-1,-1,0,0,1,0,0,-
19,,10000,-1,-1,-1,-1,19,-1,-1,-1,-1,0,0,1,0,0,-
20,,10000,-1,-1,-1,-1,20,-1,-1,-1,-1,0,0,1,0,0,-
100000,,9700,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
100010,,9710,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
100020,,9720,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
100030,,9730,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
100040,,9740,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
100050,,9750,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
100060,,9760,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
100070,,9770,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
100080,,9780,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
100090,,9790,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,-
200000,,1200,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-
200100,,1200,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-
200200,,1200,0,0,0,0,3,0,0,0,0,0,0,1,0,0,-
200300,,1200,0,0,0,0,2,0,0,0,0,0,0,1,0,0,-
200400,,1200,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-
200500,,1200,0,0,0,0,3,0,0,0,0,0,0,1,0,0,-
200600,,1200,0,0,0,0,2,0,0,0,0,0,0,1,0,0,-
210000,,1200,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-
211000,,1200,0,0,0,0,6,0,0,0,0,0,0,1,0,0,-
301000,,1200,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-
301100,,1200,0,0,0,0,2,0,0,0,0,0,0,1,0,0,-
301200,,1200,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-
301300,,1200,0,0,0,0,4,0,0,0,0,0,0,1,0,0,-
310000,,1200,0,0,0,0,2,0,0,0,0,0,0,1,0,0,-
310100,,1200,0,0,0,0,3,0,0,0,0,0,0,1,0,0,-
400000,,1200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
410000,,1200,0,0,0,0,2,0,0,0,0,0,0,1,0,0,-
410100,,1200,0,0,0,0,3,0,0,0,0,0,0,1,0,0,-
411000,,1200,0,0,0,0,5,0,0,0,0,0,0,1,0,0,-
510000,,1200,0,0,0,0,2,0,0,0,0,0,0,1,0,0,-
510100,,1200,0,0,0,0,3,0,0,0,0,0,0,1,0,0,-
511000,,1200,0,0,0,0,3,0,0,0,0,0,0,1,0,0,-
511100,,1200,0,0,0,0,4,0,0,0,0,0,0,1,0,0,-
610100,,1200,0,0,0,0,6,0,0,0,0,0,0,1,0,0,-
611100,,1200,0,0,0,0,9,0,0,0,0,0,0,1,0,0,-
612100,,1200,0,0,0,0,5,0,0,0,0,0,0,1,0,0,-
620000,,1200,0,0,0,0,2,0,0,0,0,0,0,1,0,0,-
620100,,1200,0,0,0,0,3,0,0,0,0,0,0,1,0,0,-
620200,,1200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
630000,,1200,0,0,0,0,3,0,0,0,0,0,0,1,0,0,-
630100,,1200,0,0,0,0,4,0,0,0,0,0,0,1,0,0,-
630200,,1200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
640000,,1200,0,0,0,0,4,0,0,0,0,0,0,1,0,0,-
640100,,1200,0,0,0,0,5,0,0,0,0,0,0,1,0,0,-
640200,,1200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
640300,,1200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
640400,,1200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
650000,,1200,0,0,0,0,2,0,0,0,0,0,0,1,0,0,-
650100,,1200,0,0,0,0,3,0,0,0,0,0,0,1,0,0,-
650200,,1200,0,0,0,0,2,0,0,0,0,0,0,1,0,0,-
650300,,1200,0,0,0,0,3,0,0,0,0,0,0,1,0,0,-
650400,,1200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
660000,,1200,0,0,0,0,5,0,0,0,0,0,0,1,0,0,-
660100,,1200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
660200,,1200,0,0,0,0,2,0,0,0,0,0,0,1,0,0,-
660300,,1200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
660400,,1200,0,0,0,0,3,0,0,0,0,0,0,1,0,0,-
660500,,1200,0,0,0,0,3,0,0,0,0,0,0,1,0,0,-
660600,,1200,0,0,0,0,2,0,0,0,0,0,0,1,0,0,-
660700,,1200,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-
660800,,1200,0,0,0,0,3,0,0,0,0,0,0,1,0,0,-
701000,,6000,-1,-1,-1,-1,3,-1,-1,-1,-1,0,0,1,0,0,-
