#ThrowDirectionSeParam=THROW_DIRECTION_SE_PARAM_ST
ID,Name,ThrowSeId1 - ThrowSeId1 - s32,ThrowSeId2 - ThrowSeId2 - s32,ThrowSeId3 - ThrowSeId3 - s32,ThrowSeId4 - ThrowSeId4 - s32,ThrowSeId5 - ThrowSeId5 - s32,ThrowSeId6 - ThrowSeId6 - s32,ThrowSeId7 - ThrowSeId7 - s32,ThrowSeId8 - ThrowSeId8 - s32,ThrowSeId9 - ThrowSeId9 - s32,ThrowSeId10 - ThrowSeId10 - s32,ThrowSeId11 - ThrowSeId11 - s32,ThrowSeId12 - ThrowSeId12 - s32,ThrowSeId13 - ThrowSeId13 - s32,ThrowSeId14 - ThrowSeId14 - s32,ThrowSeId15 - ThrowSeId15 - s32,ThrowSeId16 - ThrowSeId16 - s32,ThrowSeId17 - ThrowSeId17 - s32,ThrowSeId18 - ThrowSeId18 - s32,ThrowSeId19 - ThrowSeId19 - s32,ThrowSeId20 - ThrowSeId20 - s32,ThrowSeId21 - ThrowSeId21 - s32,ThrowSeId22 - ThrowSeId22 - s32,ThrowSeId23 - ThrowSeId23 - s32,ThrowSeId24 - ThrowSeId24 - s32,ThrowSeId25 - ThrowSeId25 - s32,ThrowSeId26 - ThrowSeId26 - s32,ThrowSeId27 - ThrowSeId27 - s32,ThrowSeId28 - ThrowSeId28 - s32,ThrowSeId29 - ThrowSeId29 - s32,ThrowSeId30 - ThrowSeId30 - s32,ThrowSeId31 - ThrowSeId31 - s32,ThrowSeId32 - ThrowSeId32 - s32,ThrowSeId33 - ThrowSeId33 - s32,ThrowSeId34 - ThrowSeId34 - s32,ThrowSeId35 - ThrowSeId35 - s32,ThrowSeId36 - ThrowSeId36 - s32,ThrowSeId37 - ThrowSeId37 - s32,ThrowSeId38 - ThrowSeId38 - s32,ThrowSeId39 - ThrowSeId39 - s32,ThrowSeId40 - ThrowSeId40 - s32,ThrowSeId41 - ThrowSeId41 - s32,ThrowSeId42 - ThrowSeId42 - s32,ThrowSeId43 - ThrowSeId43 - s32,ThrowSeId44 - ThrowSeId44 - s32,ThrowSeId45 - ThrowSeId45 - s32,ThrowSeId46 - ThrowSeId46 - s32,ThrowSeId47 - ThrowSeId47 - s32,ThrowSeId48 - ThrowSeId48 - s32,ThrowSeId49 - ThrowSeId49 - s32,ThrowSeId50 - ThrowSeId50 - s32,ThrowSeId51 - ThrowSeId51 - s32,ThrowSeId52 - ThrowSeId52 - s32,ThrowSeId53 - ThrowSeId53 - s32,ThrowSeId54 - ThrowSeId54 - s32,ThrowSeId55 - ThrowSeId55 - s32,ThrowSeId56 - ThrowSeId56 - s32,ThrowSeId57 - ThrowSeId57 - s32,ThrowSeId58 - ThrowSeId58 - s32,ThrowSeId59 - ThrowSeId59 - s32,ThrowSeId60 - ThrowSeId60 - s32,ThrowSeId61 - ThrowSeId61 - s32,ThrowSeId62 - ThrowSeId62 - s32,ThrowSeId63 - ThrowSeId63 - s32,ThrowSeId64 - ThrowSeId64 - s32,ThrowSeId65 - ThrowSeId65 - s32,ThrowSeId66 - ThrowSeId66 - s32,ThrowSeId67 - ThrowSeId67 - s32,ThrowSeId68 - ThrowSeId68 - s32,ThrowSeId69 - ThrowSeId69 - s32,ThrowSeId70 - ThrowSeId70 - s32,ThrowSeId71 - ThrowSeId71 - s32,ThrowSeId72 - ThrowSeId72 - s32,ThrowSeId73 - ThrowSeId73 - s32,ThrowSeId74 - ThrowSeId74 - s32,ThrowSeId75 - ThrowSeId75 - s32,ThrowSeId76 - ThrowSeId76 - s32,ThrowSeId77 - ThrowSeId77 - s32,ThrowSeId78 - ThrowSeId78 - s32,ThrowSeId79 - ThrowSeId79 - s32,ThrowSeId80 - ThrowSeId80 - s32,ThrowSeId81 - ThrowSeId81 - s32,ThrowSeId82 - ThrowSeId82 - s32,ThrowSeId83 - ThrowSeId83 - s32,ThrowSeId84 - ThrowSeId84 - s32,ThrowSeId85 - ThrowSeId85 - s32,ThrowSeId86 - ThrowSeId86 - s32,ThrowSeId87 - ThrowSeId87 - s32,ThrowSeId88 - ThrowSeId88 - s32,ThrowSeId89 - ThrowSeId89 - s32,ThrowSeId90 - ThrowSeId90 - s32
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,221500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,,221500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,,221500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,,221500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,,221500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,,221500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,,221500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,,221500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,,221500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,,221500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
